Arabic,ar,1
Bulgarian,bg,2
Chinese (Simplified),zh_sm,32772
Czech,cs,5
Danish,da,6
Dutch,nl,19
English (United Kingdom),en_gb,2057
Finnish,fi,11
French,fr,12
French (Canada),fr_ca,12
German,de,7
Hungarian,hu,14
Indonesian (Bahasa),id_ba,32801
Italian,it,16
Japanese,ja,17
Kazak,kk,63
Korean,ko,18
Malay (Malaysian),ms_ms,1086
Norwegian,no,20
Polish,pl,21
Portuguese,pt,22
Portuguese (Brazil),pt_br,1046
Romanian,ro,24
Russian,ru,25
Spanish,es,10
Spanish (Mexico),es_me,2058
Swedish,sv,29
Thai,th,30
Turkish,tr,31
Vietnamese,vi,42
